Sl No.,Course,Instructor name,Department,Programm,Branch/Semester/Section,Offered L-T-P,Time Table
1,CHD405(Energy Technology),Paidinaidu  Paluri,ce,b.tech,ce/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         CHE-401                                                                                                                                                   Thursday                                         11:00-11:50                                         CHE-401                                                                                                                                                   Friday                                         11:00-11:50                                         CHE-401
2,CHD415(Interfacial Phenomena and Microfluidics),Soubhik Kumar Bhaumik,ce,b.tech,ce/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-C13                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-C13                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-C13
3,CHD418(Electrochemical Science and Engineering ),Khantesh Agrawal,ce,b.tech,ce/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         CHE-401                                                                                                                                                   Thursday                                         10:00-10:50                                         CHE-401                                                                                                                                                   Friday                                         10:00-10:50                                         CHE-401
4,CHO403(Process Intensification),Soumyajit Sen Gupta,ce,b.tech,ce/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         CHE-423                                                                                                                                                   Thursday                                         02:00-02:50                                         CHE-423                                                                                                                                                   Friday                                         02:00-02:50                                         CHE-423
5,CSD401(Advanced Algorithms),Pranav  Bisht,cse,b.tech,cse/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-G8                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-G8                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-G8
6,CSD513(Internet of Things),Tarachand  Amgoth,cse,b.tech,cse/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-G7                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-G7                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-G7
7,CSO502(Data Analytics),Rajendra  Pamula,cse,b.tech,cse/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-G12                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-G12                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-G12
8,CSO508(Building Software Systems),Saurabh  Srivastava,cse,b.tech,cse/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-G7                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-G7                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-G7
9,CED531(Advanced Design of Structures),Sekhar Chandra Dutta,cve,b.tech,civ/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-C6                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-C6                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-C6
10,CED533(Hydroclimatology),Kironmala  Chanda,cve,b.tech,civ/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-C10                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-C10                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-C10
11,CEO527(Bridge Engineering),Piyali  Sengupta,cve,b.tech,civ/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-C8                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-C8                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-C8
12,CEO528(Ground Improvement and Geosynthetics),"Ankti  Srivastava,Sowmiya  Chawla",cve,b.tech,civ/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-C6                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-C6                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-C6
13,ECD404(Digital Image Processing),Debjani  Mitra,ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-C11                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-C11                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-C11
14,ECD406(EDA for VLSI Design),Rahul  Bhattacharya,ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-C11                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-C11                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-C11
15,ECD413(Microelectronics Technology ),Jeevesh  Kumar,ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-C12                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-C12                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-C12
16,ECD419(Satellite Communication),Preety Priya,ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-C12                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-C12                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-C12
17,ECD501(Metamaterials and CRLH Transmission Lines),Sushrut  Das,ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-I-C10                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-I-C10                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-I-C10
18,ECD564(On-Chip Interconnects),Subindu  Kumar,ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-I-C4                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-I-C4                                                                                                                                                   Friday                                         10:00-10:50                                         LC-I-C4
19,ECO401(UAV Sensors),Jaisingh  Thangaraj,ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-C12                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-C12                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-C12
